id,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,latitude,longitude,days_since_last_review,room_type_n,neighbourhood_group_n
2539,149,1,9,0.21,6,365,40.64749,-73.97237,262.0,0,0
2595,225,1,45,0.38,2,355,40.75362,-73.98377,48.0,1,1
3647,150,3,0,0.0,1,365,40.80902,-73.9419,-1.0,0,1
3831,89,1,270,4.64,1,194,40.68514,-73.95976,3.0,1,0
5022,80,10,9,0.1,1,0,40.79851,-73.94399,231.0,1,1
5099,200,3,74,0.59,1,129,40.74767,-73.975,16.0,1,1
5121,60,45,49,0.4,1,0,40.68688,-73.95596,641.0,0,0
5178,79,2,430,3.47,1,220,40.76489,-73.98493,14.0,0,1
5203,79,2,118,0.99,1,0,40.80178,-73.96723,717.0,0,1
5238,150,1,160,1.33,4,188,40.71344,-73.99037,29.0,1,1
5295,135,5,53,0.43,1,6,40.80316,-73.96545,16.0,1,1
5441,85,2,188,1.5,1,39,40.76076,-73.98867,15.0,0,1
5803,89,4,167,1.34,3,314,40.66829,-73.98779,14.0,0,0
6021,85,2,113,0.91,1,333,40.79826,-73.96113,3.0,0,1
6090,120,90,27,0.22,1,0,40.7353,-74.00525,250.0,1,1
6848,140,2,148,1.2,1,46,40.70837,-73.95352,9.0,1,0
7097,215,2,198,1.72,1,321,40.69169,-73.97185,10.0,1,0
7322,140,1,260,2.12,1,12,40.74192,-73.99501,7.0,0,1
7726,99,3,53,4.44,1,21,40.67592,-73.94694,16.0,1,0
7750,190,7,0,0.0,2,249,40.79685,-73.94872,-1.0,1,1
7801,299,3,9,0.07,1,0,40.71842,-73.95718,2749.0,1,0
8024,130,2,130,1.09,6,347,40.68069,-73.97706,7.0,0,0
8025,80,1,39,0.37,6,364,40.67989,-73.97798,188.0,0,0
8110,110,2,71,0.61,6,304,40.68001,-73.97865,6.0,0,0
8490,120,2,88,0.73,2,233,40.68371,-73.94028,19.0,1,0
8505,60,1,19,1.37,2,85,40.65599,-73.97519,15.0,0,0
8700,80,4,0,0.0,1,0,40.86754,-73.92639,-1.0,0,1
9357,150,10,58,0.49,1,75,40.76715,-73.98533,694.0,1,1
9518,44,3,108,1.11,3,311,40.86482,-73.92106,23.0,0,1
9657,180,14,29,0.24,1,67,40.7292,-73.98542,80.0,1,1
9668,50,3,242,2.04,3,355,40.82245,-73.95104,37.0,0,1
9704,52,2,88,1.42,1,255,40.81305,-73.95466,24.0,0,1
9782,55,4,197,1.65,3,284,40.72219,-73.93762,23.0,0,0
9783,50,3,273,2.37,3,359,40.8213,-73.95318,7.0,0,1
10452,70,1,74,0.66,2,269,40.6831,-73.95473,57.0,0,0
10962,89,4,168,1.41,3,340,40.66869,-73.9878,17.0,0,0
11452,35,60,0,0.0,1,365,40.68876,-73.94312,-1.0,0,0
11708,85,2,231,1.96,2,22,40.70186,-73.92745,16.0,1,0
11943,150,1,0,0.0,1,365,40.63702,-73.96327,-1.0,0,0
